region,occupy,predict
0,1,1
1,1,0
2,1,1
3,1,1
4,0,1
5,1,0
6,1,4
7,1,2
8,0,3
9,1,3
10,1,4
11,1,2
12,0,0
13,1,0
14,1,4
15,0,2
16,0,1
17,0,0
18,0,1
19,0,1
20,0,1
21,0,0
22,0,4
23,0,2
24,0,3
25,0,3
26,0,4
27,0,2
28,0,0
29,0,0
30,0,4
31,0,2
32,0,1
33,0,0
34,0,1
35,0,1
36,0,1
37,0,0
38,0,4
39,0,2
40,0,3
41,0,3
42,0,4
43,0,2
44,0,0
45,0,0
46,0,4
47,0,2
48,0,1
49,0,0
50,0,1
51,0,1
52,0,1
53,0,0
54,0,4
55,0,2
56,0,3
57,0,3
58,0,4
59,0,2
60,0,0
61,0,0
62,0,4
63,0,2
64,0,1
65,0,0
66,0,1
67,0,1
68,0,1
69,0,0
70,0,4
71,0,2
72,0,3
73,0,3
74,0,4
75,0,2
76,0,0
77,0,0
78,0,4
79,0,2
80,0,1
81,0,0
82,0,1
83,0,1
84,0,1
85,0,0
86,0,4
87,0,2
88,0,3
89,0,3
90,0,4
91,0,2
92,0,0
93,0,0
94,0,4
95,0,2
96,0,1
97,0,0
98,0,1
99,0,1
100,0,1
101,0,0
102,0,4
103,0,2
104,0,3
105,0,3
106,0,4
107,0,2
108,0,0
109,0,0
110,0,4
111,0,2
112,0,1
113,0,0
114,0,1
115,0,1
116,0,1
117,0,0
118,0,4
119,0,2
120,0,3
121,0,3
122,0,4
123,0,2
124,0,0
125,0,0
126,0,4
127,0,2
128,0,1
129,0,0
130,0,1
131,0,1
132,0,1
133,0,0
134,0,4
135,0,2
136,0,3
137,0,3
138,0,4
139,0,2
140,0,0
141,0,0
142,0,4
143,0,2
144,0,1
145,0,0
146,0,1
147,0,1
148,0,1
149,0,0
150,0,4
151,0,2
152,0,3
153,0,3
154,0,4
155,0,2
156,0,0
157,0,0
158,0,4
159,0,2
160,0,1
161,0,0
162,0,1
163,0,1
164,0,1
165,0,0
166,0,4
167,0,2
168,0,3
169,0,3
170,0,4
171,0,2
172,0,0
173,0,0
174,0,4
175,0,2
176,0,1
177,0,0
178,0,1
179,0,1
180,0,1
181,0,0
182,0,4
183,0,2
184,0,3
185,0,3
186,0,4
187,0,2
188,0,0
189,0,0
190,0,4
191,0,2